Block,Rows_num,L_c,R,G,t_G,Repetition,F_max,Impulse,u_01,u_12,u_23,WG0_max,WG1_max,WG2_max,WG3_max,Ref_WG0_max,Ref_WG1_max,Ref_WG2_max,Ref_WG3_max,Ref_u_01,Ref_u_12,Ref_u_23,q_max_0,V_0,p_dot_max_0,p_0,Deflection
A,4,0.906,400,300,1,2,175.2681638,607.380553,2.75,1.120162933,1.129943503,0.103724038,0.135534903,0.04573571,0.031815119,0.081521456,0.067832272,0.048733791,0.047638836,2.640913909,2.547490216,2.624250086,0.164105374,0.339825952,357.5510933,556.0606835,Emerged
A,4,0.906,400,300,2,1,276.2205686,1134.840303,2.791878173,1.328502415,1.652892562,0.118075886,0.175795681,0.101208574,0.059794651,0.112494231,0.096802215,0.083947383,0.068870757,2.607346984,2.53833525,2.693260547,0.199689578,0.583176277,456.9679174,1101.130932,Transition
A,4,0.906,400,300,2,2,288.759243,1272.359589,2.582159624,1.378446115,1.851851852,0.112086196,0.1678529,0.125718085,0.058646167,0.112494231,0.096802215,0.083947383,0.068870757,2.607346984,2.53833525,2.693260547,0.199689578,0.583176277,456.9679174,1101.130932,Transition
A,4,0.906,800,100,1,1,250.0501044,916.9078117,2.989130435,1.0763,NaN,0.075156277,0.117067298,0.058655704,0.030785605,0.08348159,0.064590651,0.052797582,0.049118458,3.078375058,2.815580971,3.058659483,0.21966338,0.300368342,608.954108,654.3323446,Emerged
A,4,0.906,800,100,1,2,231.7243494,750.7898017,2.941176471,1.273148148,1.351351351,0.078204636,0.126657613,0.030460944,0.035501016,0.08348159,0.064590651,0.052797582,0.049118458,3.078375058,2.815580971,3.058659483,0.21966338,0.300368342,608.954108,654.3323446,Emerged
A,4,0.906,800,100,2,1,312.4219723,1251.712556,3.08988764,1.536312849,2.43902439,0.097903835,0.144192934,0.065075089,0.056769632,0.093164951,0.09012434,0.090078148,0.074986088,3.103968579,2.777884378,2.787892525,0.242316003,0.553157535,661.1465154,1333.637268,Transition
A,4,0.906,800,100,2,2,304.0307055,903.3052625,2.956989247,1.506849315,2.631578947,0.103456407,0.14499092,0.057806098,0.061186767,0.093164951,0.09012434,0.090078148,0.074986088,3.103968579,2.777884378,2.787892525,0.242316003,0.553157535,661.1465154,1333.637268,Transition
A,4,0.906,800,200,1,1,487.60976,1173.125948,3.767123288,2.282157676,3.50877193,0.111803194,0.136968695,0.056781214,0.06635325,0.10502444,0.102463767,0.071523192,0.07181276,3.697016504,3.319707323,3.750736023,0.331806977,0.564972731,1093.819897,1496.331177,Transition
A,4,0.906,800,200,1,2,487.9312645,1152.308678,3.618421053,2.244897959,3.571428571,0.107515011,0.144177034,0.056988674,0.061530757,0.10502444,0.102463767,0.071523192,0.07181276,3.697016504,3.319707323,3.750736023,0.331806977,0.564972731,1093.819897,1496.331177,Transition
A,4,0.906,800,200,2,1,467.6764827,1465.021443,3.525641026,2.19123506,3.225806452,0.139485001,0.160982072,0.102750571,0.109760892,0.125671972,0.125487449,0.101750047,0.096432099,3.672835797,3.299945143,3.701169134,0.371540731,0.939016108,1138.177797,2650.866047,Submerged
A,4,0.906,800,200,2,2,464.7829424,1550.804695,3.503184713,2.208835341,3.076923077,0.141693346,0.187030678,0.097411211,0.105514999,0.125671972,0.125487449,0.101750047,0.096432099,3.672835797,3.299945143,3.701169134,0.371540731,0.939016108,1138.177797,2650.866047,Submerged
A,4,0.906,800,300,1,1,566.6998606,1788.870624,3.793103448,2.488687783,3.389830508,0.128499131,0.158210152,0.072887912,0.088102693,0.123275629,0.120128735,0.086776578,0.087512776,3.941707549,3.551363073,3.925417345,0.380632497,0.783363698,1293.05696,2113.771781,Submerged
A,4,0.906,800,300,1,2,576.3449948,1757.843208,3.741496599,2.5,3.278688525,0.129659871,0.140422879,0.076208093,0.095997981,0.123275629,0.120128735,0.086776578,0.087512776,3.941707549,3.551363073,3.925417345,0.380632497,0.783363698,1293.05696,2113.771781,Submerged
A,5,1.1325,400,200,2,1,283.4544193,1392.022726,2.582159624,1.082677165,1.449275362,0.089343984,0.175282496,0.039900553,0.039500172,0.091755435,0.087167872,0.068599394,0.06232713,2.590820531,2.483510182,2.542738538,0.184646937,0.4946573,406.593,896.3623799,Emerged
A,5,1.1325,400,200,2,2,265.6912971,1165.166606,2.644230769,1.143451143,1.492537313,0.097538033,0.170887775,0.03955726,0.043364779,0.091755435,0.087167872,0.068599394,0.06232713,2.590820531,2.483510182,2.542738538,0.184646937,0.4946573,406.593,896.3623799,Emerged
A,5,1.1325,400,300,1,1,190.7807547,859.3671917,2.696078431,0.949913644,1.156069364,0.107279508,0.147717706,0.029312514,0.029238607,0.081521456,0.067832272,0.048733791,0.047638836,2.640913909,2.547490216,2.624250086,0.164105374,0.339825952,357.5510933,556.0606835,Emerged
A,5,1.1325,400,300,1,2,180.814116,807.8415261,2.835051546,0.901639344,1.149425287,0.093951046,0.135564251,0.028015751,0.030672213,0.081521456,0.067832272,0.048733791,0.047638836,2.640913909,2.547490216,2.624250086,0.164105374,0.339825952,357.5510933,556.0606835,Emerged
A,5,1.1325,400,300,2,1,302.3428071,1309.024393,2.570093458,1.244343891,1.801801802,0.11516571,0.207333395,0.049550418,0.052670133,0.112494231,0.096802215,0.083947383,0.068870757,2.607346984,2.53833525,2.693260547,0.199689578,0.583176277,456.9679174,1101.130932,Transition
A,5,1.1325,400,300,2,2,284.3385565,1322.338633,2.864583333,1.170212766,1.724137931,0.118233106,0.182242005,0.050695672,0.047747254,0.112494231,0.096802215,0.083947383,0.068870757,2.607346984,2.53833525,2.693260547,0.199689578,0.583176277,456.9679174,1101.130932,Transition
A,5,1.1325,800,100,1,1,249.6160733,663.4382659,3.005464481,1.01663586,1.086956522,0.077546913,0.114538356,0.028414477,0.03072969,0.08348159,0.064590651,0.052797582,0.049118458,3.078375058,2.815580971,3.058659483,0.21966338,0.300368342,608.954108,654.3323446,Emerged
A,5,1.1325,800,100,1,2,267.2988194,722.8407908,2.989130435,1.057692308,1.063829787,0.079553168,0.13715229,0.029189995,0.029220655,0.08348159,0.064590651,0.052797582,0.049118458,3.078375058,2.815580971,3.058659483,0.21966338,0.300368342,608.954108,654.3323446,Emerged
A,5,1.1325,800,100,2,1,323.8836068,1057.734777,2.989130435,1.378446115,1.941747573,0.102513983,0.139193439,0.050121066,0.052602824,0.093164951,0.09012434,0.090078148,0.074986088,3.103968579,2.777884378,2.787892525,0.242316003,0.553157535,661.1465154,1333.637268,Transition
A,5,1.1325,800,100,2,2,333.8502455,1102.166815,2.989130435,1.403061224,1.941747573,0.100741146,0.158169745,0.060340289,0.052963783,0.093164951,0.09012434,0.090078148,0.074986088,3.103968579,2.777884378,2.787892525,0.242316003,0.553157535,661.1465154,1333.637268,Transition
A,5,1.1325,800,200,1,1,511.6422194,1283.479561,3.691275168,2.208835341,3.571428571,0.110847542,0.16209115,0.058323651,0.060119436,0.10502444,0.102463767,0.071523192,0.07181276,3.697016504,3.319707323,3.750736023,0.331806977,0.564972731,1093.819897,1496.331177,Transition
A,5,1.1325,800,200,1,2,528.6819565,1342.715868,3.618421053,2.208835341,3.125,0.112668564,0.155428226,0.053974992,0.048082919,0.10502444,0.102463767,0.071523192,0.07181276,3.697016504,3.319707323,3.750736023,0.331806977,0.564972731,1093.819897,1496.331177,Transition
A,5,1.1325,800,200,2,1,520.6443447,1798.534173,3.819444444,2.2,3.448275862,0.135736593,0.17998819,0.101461098,0.09624518,0.125671972,0.125487449,0.101750047,0.096432099,3.672835797,3.299945143,3.701169134,0.371540731,0.939016108,1138.177797,2650.866047,Submerged
A,5,1.1325,800,200,2,2,536.7195683,1805.727248,3.481012658,2.1484375,3.278688525,0.136450383,0.161970962,0.101234387,0.091856192,0.125671972,0.125487449,0.101750047,0.096432099,3.672835797,3.299945143,3.701169134,0.371540731,0.939016108,1138.177797,2650.866047,Submerged
A,5,1.1325,800,300,1,1,616.1311733,1712.938067,3.741496599,2.412280702,3.703703704,0.128728329,0.160276788,0.088593167,0.074798892,0.123275629,0.120128735,0.086776578,0.087512776,3.941707549,3.551363073,3.925417345,0.380632497,0.783363698,1293.05696,2113.771781,Submerged
A,5,1.1325,800,300,1,2,605.8430303,1794.899781,3.767123288,2.391304348,4.04,0.128566985,0.151146673,0.085420822,0.088191675,0.123275629,0.120128735,0.086776578,0.087512776,3.941707549,3.551363073,3.925417345,0.380632497,0.783363698,1293.05696,2113.771781,Submerged
